year,vehicle_name_x,vehicle_name_clean,model,engine_specs,Mpg/Other/Price - Base MSRP,Category,vehicle_name_y,Electrified,seating,vehicle_name
2024,Prius Prime,Prius Prime,SE,2.0L 4-Cyl. Plug-in Hybrid Engine Front-Wheel Drive,,Cars,Prius Prime,Yes,5.0,Prius Prime
2024,Prius Prime,Prius Prime,XSE,2.0L 4-Cyl. Plug-in Hybrid Engine Front-Wheel Drive,,Cars,Prius Prime,Yes,5.0,Prius Prime
2024,Prius Prime,Prius Prime,XSE Premium,2.0L 4-Cyl. Plug-in Hybrid Engine Front-Wheel Drive,,Cars,Prius Prime,Yes,5.0,Prius Prime
2024,Prius,Prius,LE,2.0L 4-Cyl. Gas/Electric Hybrid FWD Electronically controlled Continuously Variable Transmission (ECVT),,Cars,Prius,Yes,5.0,Prius
2024,Prius,Prius,XLE,2.0L 4-Cyl. Gas/Electric Hybrid FWD Electronically controlled Continuously Variable Transmission (ECVT),,Cars,Prius,Yes,5.0,Prius
2024,Prius,Prius,Limited,2.0L 4-Cyl. Gas/Electric Hybrid FWD Electronically controlled Continuously Variable Transmission (ECVT),,Cars,Prius,Yes,5.0,Prius
2025,4Runner I-Force Max,4Runner i-FORCE MAX,SR5,i-FORCE 2.4L 4-Cyl. Turbo Engine Rear-Wheel Drive,,SUVs,4Runner i-FORCE MAX,Yes,5.0,4Runner i-FORCE MAX
2025,4Runner I-Force Max,4Runner i-FORCE MAX,Limited,i-FORCE 2.4L 4-Cyl. Turbo Engine Rear-Wheel Drive,,SUVs,4Runner i-FORCE MAX,Yes,5.0,4Runner i-FORCE MAX
2025,4Runner I-Force Max,4Runner i-FORCE MAX,TRD Pro,i-FORCE MAX 2.4L 4-Cyl. Turbo Hybrid Powertrain Engine Part-time 4-Wheel Drive,,SUVs,4Runner i-FORCE MAX,Yes,5.0,4Runner i-FORCE MAX
2025,4Runner,4Runner,SR5,i-FORCE 2.4L 4-Cyl. Turbo Engine Rear-Wheel Drive,"$40,770",SUVs,4Runner,No,7.0,4Runner
2025,4Runner,4Runner,Limited,i-FORCE 2.4L 4-Cyl. Turbo Engine Rear-Wheel Drive,"$55,400",SUVs,4Runner,No,7.0,4Runner
2025,4Runner,4Runner,TRD Pro,i-FORCE MAX 2.4L 4-Cyl. Turbo Hybrid Powertrain Engine Part-time 4-Wheel Drive,"$66,900",SUVs,4Runner,No,7.0,4Runner
