question,answer
How do I operate the in dash shelf in my vehicle?,No content available
How many passengers is there room for in Land Cruiser?,No content available
How often should I check my vehicle’s tire pressure?,"Toyota recommends checking the tire pressure at least once per month, as tires do seep a small amount of air. It is likely you will have to adjust the pressure regularly due to air permeation (seepage) and ambient air temperature fluctuation."
Why is my vehicle not getting the EPA-estimated fuel economy?,"The purpose of EPA-estimated fuel economy ratings is to help consumers cross-shop between vehicles. They are not intended to be predictors of fuel economy because fuel efficiency is influenced by many variables including, but not limited to, driving style, tire pressure, vehicle maintenance, load carried in the vehicle, quality and octane level of gasoline, fuel additives or seasonal variations in fuel, terrain, locale (urban/suburban) and weather conditions.
Common causes of lower fuel economy include short distance driving, frequent stops, heavy accelerations, low tire pressure, neglected vehicle maintenance and carrying heavy loads."
How long does the Prius Prime take to charge?,No content available
How do I reset the maintenance required light on my vehicle?,Please check your Owner's Manual for reset instructions pertaining to your vehicle.
What are the RAV4’s engine specs?,"Equipped with a 2.5-liter 4-cylinder dual overhead camshaft (DOHC), the RAV4 delivers more fun with a powerful 176-hp 4-cylinder engine for off-the-line thrills. And the Dual Variable Valve Timing with intelligence (VVT-i) technology helps maximize performance while boosting RAV4’s fuel economy."
Which Bluetooth® enabled phones are compatible with my vehicle?,No content available
How many speakers does the Land Cruiser have?,"The 2019 Land Cruiser comes standard with 14 JBL® Synthesis speakers, including a subwoofer and amplifier. 

JBL® is a registered trademark of Harman International Industries, Incorporated."
"How do I customize the turn by turn navigation, language and units in my vehicle?","The Multi-Information Display lets you access a variety of customizable vehicle features. To get to them, press the Display or DISP button on the steering wheel a few times until you see SETTINGS in the display. Press and hold the DISP button to access the menu. Then, press and release the DISP button to step though the list. Press and hold to select the highlighted item. To Exit, Select EXIT. Then, press and hold to return to the primary display.
Please click here to view a video.
Disclaimer: Not all features are available on all vehicles and model grades. Please see your Owner's Manual for further details and important safety information."
Where can I access more information on Toyota GR Supra Automatic Transmission and Shift Lever Operation?,"To learn more about Toyota GR Supra Automatic Transmission Operation, please click here."
How do I know when my tires should be replaced?,"Tires have built in treadwear indicators or wear bars that run perpendicular to tire tread. The wear bars are thin strips of rubber spread out every few inches. The tread level becomes even with the wear bar at approximately 2/32"". When the tread level becomes even with the wear bar, it is most likely time to replace the tires. Depending on state laws and your driving habits, you may need to replace the tires sooner. Tires may also need to be replaced if they are physically damaged, showing abnormal wear or are unsuitable for driving conditions."
How far away can I be from the vehicle and the remote engine starter still work?,"The remote engine starter can be effectively operated up to 80 feet in an open space. The physical makeup of the surrounding environment (hills, trees, buildings, etc.) may affect the remote engine starter's maximum range."
How do I enable and disable specific apps for Apple CarPlay®?,"On your iPhone go to Settings > General > CarPlay. Then, choose the applicable vehicle. To disable an app, click the minus (-) icon in the upper left corner of the app icon. To re-enable the app, click the plus (+) icon in the upper left corner of the app icon.

Apple CarPlay®
Requires compatible smartphone. Operability depends on network availability, a cellular connection and GPS signal.
Services subject to change at any time without notice. Data charges may apply. To learn more, go to https://www.toyota.com/audio-multimedia/. To learn more about Toyota's connected services data collection, use, sharing and retention practices, please visit https://www.toyota.com/support/privacy-rights/. Apple CarPlay is a registered trademark of Apple Inc."
Does the 86 come with paddle shifters?,The 86 equipped with an automatic transmission come standard with paddle shifters.
Where can learn more about Toyota Safety Sense (TSS)?,"To learn more information about Toyota Safety Sense (TSS), please click here."
How do I reset the trip meter on my vehicle?,"Please check your Owner's Manual for reset instructions pertaining to your vehicle.
Please click here to view a video.
Disclaimer: Not all features are available on all vehicles and model grades. Please see your Owner's Manual for further details and important safety information."
Why does my vehicle seem to perform differently when it is cold compared to when it is warm?,"Toyota vehicles incorporate a sophisticated emissions system that works with the Engine Control Module to warm the engine as quickly as possible by running it at high revolutions per minute (RPM) at idle, and by delaying upshifting on vehicles with an automatic transmission. Delaying upshifts keeps the cold engine's RPM higher while driving.
Emissions are highest when the engine is cold because the catalytic converter needs to be at a high operating temperature in order to function effectively. To get the engine and emissions system warmed as quickly as possible, the fast engine RPM at idle and delayed upshift continue until optimum operating temperature is reached.
Normal idle speed and automatic transmission shifting return when the engine and emissions systems are warmed to operating temperature."
How do I operate the adaptive cruise control in my vehicle?,No content available
